Note,Period
C-1,3344
C#1,3157
D-1,2980
D#1,2812
E-1,2655
F-1,2506
F#1,2365
G-1,2232
G#1,2107
A-1,1989
A#1,1877
B-1,1772
C-2,1672
C#2,1578
D-2,1490
D#2,1406
E-2,1327
F-2,1253
F#2,1182
G-2,1116
G#2,1053
A-2,994
A#2,939
B-2,886
C-3,836
C#3,789
D-3,745
D#3,703
E-3,664
F-3,626
F#3,591
G-3,558
G#3,527
A-3,497
A#3,469
B-3,443
C-4,418
C#4,395
D-4,372
D#4,352
E-4,332
F-4,313
F#4,295
G-4,279
G#4,263
A-4,249
A#4,235
B-4,221
C-5,209
C#5,197
D-5,186
D#5,176
E-5,166
F-5,157
F#5,148
G-5,140
G#5,132
A-5,124
A#5,117
B-5,111
C-6,105
C#6,99
D-6,93
D#6,88
E-6,83
F-6,78
F#6,74
G-6,70
G#6,66
A-6,62
A#6,59
B-6,55
C-7,52
C#7,49
D-7,47
D#7,44
E-7,41
F-7,39
F#7,37
G-7,35
G#7,33
A-7,31
A#7,29
B-7,28
C-8,26
C#8,25
D-8,23
D#8,22
E-8,21
F-8,20
F#8,18
G-8,17
G#8,16
A-8,15
A#8,14
B-8,13
