Note,Period
C-1,3106
C#1,2931
D-1,2767
D#1,2611
E-1,2465
F-1,2327
F#1,2196
G-1,2073
G#1,1956
A-1,1847
A#1,1743
B-1,1645
C-2,1553
C#2,1466
D-2,1383
D#2,1306
E-2,1232
F-2,1163
F#2,1098
G-2,1036
G#2,978
A-2,923
A#2,871
B-2,823
C-3,776
C#3,733
D-3,692
D#3,653
E-3,616
F-3,582
F#3,549
G-3,518
G#3,489
A-3,462
A#3,436
B-3,411
C-4,388
C#4,366
D-4,346
D#4,326
E-4,308
F-4,291
F#4,274
G-4,259
G#4,244
A-4,231
A#4,218
B-4,206
C-5,194
C#5,183
D-5,173
D#5,163
E-5,154
F-5,145
F#5,137
G-5,129
G#5,122
A-5,115
A#5,109
B-5,103
C-6,97
C#6,92
D-6,86
D#6,82
E-6,77
F-6,73
F#6,69
G-6,65
G#6,61
A-6,58
A#6,54
B-6,51
C-7,49
C#7,46
D-7,43
D#7,41
E-7,39
F-7,36
F#7,34
G-7,32
G#7,31
A-7,29
A#7,27
B-7,26
C-8,24
C#8,23
D-8,22
D#8,20
E-8,19
F-8,18
F#8,17
G-8,16
G#8,15
A-8,14
A#8,13
B-8,12
