Note,Period
C-1,3832
C#1,3600
D-1,3424
D#1,3200
E-1,3032
F-1,2856
F#1,2696
G-1,2544
G#1,2400
A-1,2272
A#1,2136
B-1,2016
C-2,1916
C#2,1800
D-2,1712
D#2,1600
E-2,1516
F-2,1428
F#2,1348
G-2,1272
G#2,1200
A-2,1136
A#2,1068
B-2,1021
C-3,958
C#3,900
D-3,856
D#3,800
E-3,758
F-3,714
F#3,674
G-3,636
G#3,600
A-3,568
A#3,534
B-3,504
C-4,479
C#4,450
D-4,428
D#4,400
E-4,379
F-4,357
F#4,337
G-4,318
G#4,300
A-4,284
A#4,267
B-4,252
C-5,239
C#5,225
D-5,214
D#5,200
E-5,189
F-5,178
F#5,168
G-5,159
G#5,150
A-5,142
A#5,133
B-5,126
C-6,119
C#6,112
D-6,107
D#6,100
E-6,94
F-6,89
F#6,84
G-6,79
G#6,75
A-6,71
A#6,66
B-6,63
C-7,59
C#7,56
D-7,53
D#7,50
E-7,47
F-7,44
F#7,42
G-7,39
G#7,37
A-7,35
A#7,33
B-7,31
C-8,29
C#8,28
D-8,26
D#8,25
E-8,23
F-8,22
F#8,21
G-8,19
G#8,18
A-8,17
A#8,16
B-8,15
